       param  mean se_mean   sd 2.5%  25%  50%  75% 97.5% n_eff Rhat
sigma[19]     0.38       0 0.01 0.37 0.37 0.38 0.38  0.39  1000 1.00
sigma[20]     0.35       0 0.01 0.34 0.34 0.35 0.35  0.36  1000 1.00
sigma[21]     0.27       0 0.00 0.27 0.27 0.27 0.28  0.28  1000 1.00
sigma[22]     0.36       0 0.01 0.35 0.35 0.36 0.36  0.37  1000 1.00
sigma[23]     0.26       0 0.00 0.25 0.26 0.26 0.27  0.27  1000 1.00
sigma[24]     0.31       0 0.01 0.30 0.31 0.31 0.32  0.32  1000 1.00
sigma[25]     0.35       0 0.01 0.34 0.35 0.35 0.36  0.36  1000 1.00
sigma[26]     0.37       0 0.01 0.36 0.37 0.37 0.38  0.38  1000 1.00
sigma[27]     0.33       0 0.01 0.32 0.33 0.33 0.34  0.34   582 1.00
sigma[28]     0.29       0 0.01 0.28 0.29 0.29 0.30  0.30   636 1.00
sigma[29]     0.33       0 0.01 0.32 0.33 0.33 0.33  0.34  1000 1.00
sigma[30]     0.41       0 0.01 0.39 0.40 0.41 0.41  0.42  1000 1.00
sigma[31]     0.27       0 0.00 0.27 0.27 0.27 0.28  0.28   663 1.00
sigma[32]     0.28       0 0.00 0.27 0.27 0.28 0.28  0.28  1000 1.00
sigma[33]     0.38       0 0.01 0.36 0.37 0.38 0.38  0.39  1000 1.00
sigma[34]     0.37       0 0.01 0.36 0.37 0.37 0.37  0.38  1000 1.00
sigma[35]     0.31       0 0.00 0.30 0.30 0.31 0.31  0.32  1000 1.00
sigma[36]     0.32       0 0.01 0.31 0.32 0.32 0.32  0.33  1000 1.00
sigma[37]     0.32       0 0.01 0.31 0.32 0.32 0.33  0.33  1000 1.00
sigma[38]     0.34       0 0.01 0.33 0.34 0.34 0.35  0.36  1000 1.00
sigma[39]     0.28       0 0.00 0.27 0.28 0.28 0.28  0.29  1000 1.00
sigma[40]     0.34       0 0.01 0.33 0.33 0.34 0.34  0.35  1000 1.00
sigma[41]     0.31       0 0.01 0.30 0.31 0.31 0.32  0.32  1000 1.00
sigma[42]     0.36       0 0.01 0.35 0.36 0.36 0.36  0.37  1000 1.00
sigma[43]     0.32       0 0.01 0.31 0.31 0.32 0.32  0.33  1000 1.00
sigma[44]     0.32       0 0.01 0.31 0.32 0.32 0.33  0.34  1000 1.00
sigma[45]     0.28       0 0.00 0.27 0.28 0.28 0.28  0.29  1000 1.00
sigma[46]     0.34       0 0.01 0.33 0.34 0.34 0.35  0.35  1000 1.00
sigma[47]     0.35       0 0.01 0.34 0.34 0.35 0.35  0.36  1000 1.00
sigma[48]     0.34       0 0.01 0.33 0.34 0.34 0.35  0.36  1000 1.00
sigma[49]     0.33       0 0.01 0.32 0.33 0.33 0.33  0.34  1000 1.00
sigma[50]     0.39       0 0.01 0.38 0.38 0.39 0.39  0.40  1000 1.00
sigma[51]     0.35       0 0.01 0.34 0.35 0.35 0.36  0.36   782 1.00
sigma[52]     0.28       0 0.00 0.27 0.27 0.28 0.28  0.29  1000 1.00
sigma[53]     0.36       0 0.01 0.35 0.35 0.36 0.36  0.37  1000 1.00
sigma[54]     0.28       0 0.00 0.27 0.28 0.28 0.28  0.29  1000 1.00
sigma[55]     0.29       0 0.00 0.28 0.29 0.29 0.29  0.30  1000 1.00
sigma[56]     0.33       0 0.01 0.32 0.33 0.33 0.33  0.34  1000 1.00
sigma[57]     0.35       0 0.01 0.34 0.34 0.35 0.35  0.36  1000 1.00
sigma[58]     0.34       0 0.01 0.33 0.33 0.34 0.34  0.35  1000 1.00
sigma[59]     0.31       0 0.00 0.30 0.30 0.31 0.31  0.32  1000 1.00
sigma[60]     0.35       0 0.01 0.34 0.34 0.35 0.35  0.36   643 1.00
sigma[61]     0.42       0 0.01 0.41 0.41 0.42 0.42  0.43  1000 1.00
sigma[62]     0.27       0 0.00 0.26 0.27 0.27 0.27  0.28  1000 1.00
tau_0[1]      0.98       0 0.03 0.92 0.96 0.97 1.00  1.03  1000 1.00
tau_0[2]      0.92       0 0.03 0.87 0.90 0.92 0.94  0.97  1000 1.00
tau_0[3]      0.96       0 0.03 0.91 0.94 0.95 0.97  1.01  1000 1.00
tau_0[4]      0.96       0 0.03 0.91 0.94 0.96 0.98  1.02  1000 1.00
tau_0[5]      0.97       0 0.03 0.92 0.95 0.97 0.99  1.02  1000 1.00
tau_0[6]      0.96       0 0.03 0.90 0.94 0.96 0.97  1.01  1000 1.00
tau_0[7]      0.95       0 0.03 0.90 0.93 0.95 0.97  1.01  1000 1.00
tau_0[8]      0.97       0 0.03 0.92 0.95 0.97 0.99  1.02  1000 1.00
tau_0[9]      0.95       0 0.02 0.91 0.94 0.95 0.97  1.00  1000 1.00
tau_0[10]     0.97       0 0.03 0.92 0.95 0.97 0.99  1.02  1000 1.00
tau_0[11]     0.96       0 0.03 0.91 0.94 0.96 0.98  1.01  1000 1.00
tau_0[12]     0.96       0 0.03 0.90 0.94 0.96 0.98  1.02  1000 1.00
tau_0[13]     0.96       0 0.03 0.91 0.94 0.96 0.98  1.02  1000 1.00
tau_0[14]     0.98       0 0.03 0.93 0.96 0.98 0.99  1.03  1000 1.00
tau_0[15]     0.95       0 0.03 0.90 0.93 0.95 0.97  1.01  1000 1.00
tau_0[16]     0.95       0 0.03 0.90 0.93 0.95 0.97  1.00  1000 1.00
tau_0[17]     0.95       0 0.03 0.90 0.93 0.95 0.97  1.01  1000 1.00
tau_0[18]     0.95       0 0.03 0.90 0.93 0.95 0.97  1.01  1000 1.00
tau_0[19]     0.93       0 0.03 0.87 0.91 0.93 0.95  0.99  1000 1.00
tau_0[20]     0.94       0 0.02 0.89 0.92 0.94 0.95  0.98  1000 1.00
tau_0[21]     0.98       0 0.03 0.92 0.96 0.98 1.00  1.04  1000 1.00
tau_0[22]     0.93       0 0.03 0.88 0.92 0.93 0.95  0.99  1000 1.00
tau_0[23]     0.97       0 0.03 0.93 0.96 0.97 0.99  1.03  1000 1.00
tau_0[24]     0.96       0 0.03 0.91 0.94 0.96 0.98  1.02  1000 1.00
tau_0[25]     0.94       0 0.03 0.89 0.93 0.94 0.96  1.00  1000 1.00
tau_0[26]     0.93       0 0.03 0.88 0.91 0.93 0.95  0.99  1000 1.00
tau_0[27]     0.95       0 0.03 0.90 0.93 0.95 0.97  1.00  1000 1.00
tau_0[28]     0.96       0 0.03 0.91 0.95 0.96 0.98  1.02  1000 1.00
tau_0[29]     0.95       0 0.03 0.90 0.93 0.95 0.97  1.00  1000 1.00
tau_0[30]     0.92       0 0.03 0.86 0.90 0.92 0.94  0.97  1000 1.00
tau_0[31]     0.98       0 0.03 0.93 0.96 0.98 1.00  1.03  1000 1.00
tau_0[32]     0.98       0 0.03 0.94 0.97 0.98 1.00  1.04  1000 1.00
tau_0[33]     0.92       0 0.03 0.87 0.90 0.92 0.94  0.97  1000 1.00
tau_0[34]     0.94       0 0.03 0.89 0.92 0.94 0.96  1.00  1000 1.00
tau_0[35]     0.96       0 0.03 0.91 0.94 0.96 0.98  1.02  1000 1.00
tau_0[36]     0.96       0 0.03 0.91 0.94 0.96 0.98  1.01  1000 1.00
tau_0[37]     0.95       0 0.03 0.90 0.93 0.95 0.97  1.01  1000 1.00
tau_0[38]     0.94       0 0.03 0.89 0.93 0.94 0.96  0.99  1000 1.00
tau_0[39]     0.97       0 0.03 0.92 0.95 0.97 0.99  1.02  1000 1.00
tau_0[40]     0.94       0 0.02 0.89 0.92 0.94 0.95  0.99  1000 1.00
tau_0[41]     0.97       0 0.03 0.91 0.95 0.96 0.98  1.02  1000 1.00
tau_0[42]     0.93       0 0.03 0.88 0.91 0.93 0.95  0.99  1000 1.00
tau_0[43]     0.96       0 0.03 0.92 0.95 0.96 0.98  1.02  1000 1.00
tau_0[44]     0.96       0 0.03 0.91 0.94 0.95 0.97  1.01  1000 1.00
tau_0[45]     0.98       0 0.03 0.93 0.96 0.97 0.99  1.03  1000 1.00
tau_0[46]     0.94       0 0.03 0.89 0.93 0.94 0.96  1.00  1000 1.00
tau_0[47]     0.95       0 0.03 0.90 0.93 0.95 0.97  1.01  1000 1.00
tau_0[48]     0.95       0 0.03 0.90 0.93 0.95 0.97  1.00  1000 1.00
tau_0[49]     0.96       0 0.03 0.91 0.94 0.95 0.97  1.01  1000 1.00
tau_0[50]     0.93       0 0.03 0.88 0.91 0.93 0.95  0.98  1000 1.01
tau_0[51]     0.93       0 0.03 0.88 0.92 0.93 0.95  0.99  1000 1.00
tau_0[52]     0.99       0 0.03 0.93 0.97 0.98 1.00  1.05  1000 1.00
tau_0[53]     0.93       0 0.03 0.88 0.92 0.93 0.95  0.99  1000 1.00
tau_0[54]     0.97       0 0.03 0.92 0.95 0.97 0.99  1.02  1000 1.00
tau_0[55]     0.97       0 0.03 0.92 0.95 0.97 0.99  1.02  1000 1.00
tau_0[56]     0.95       0 0.03 0.91 0.94 0.95 0.97  1.00  1000 1.00
tau_0[57]     0.95       0 0.03 0.90 0.93 0.95 0.97  1.00  1000 1.00
tau_0[58]     0.95       0 0.03 0.90 0.93 0.95 0.97  1.00  1000 1.00
tau_0[59]     0.97       0 0.03 0.91 0.95 0.97 0.98  1.02  1000 1.00
tau_0[60]     0.94       0 0.03 0.89 0.92 0.94 0.96  1.00  1000 1.00
tau_0[61]     0.92       0 0.03 0.87 0.90 0.92 0.93  0.96  1000 1.00
tau_0[62]     0.99       0 0.03 0.94 0.97 0.99 1.01  1.04  1000 1.00
var_ratio[1]  4.67    0.00 0.16 4.36 4.56 4.67 4.78  4.99  1000 1.00
var_ratio[2]  3.49    0.00 0.12 3.27 3.40 3.49 3.57  3.73  1000 1.00
var_ratio[3]  3.63    0.00 0.12 3.42 3.56 3.63 3.71  3.87  1000 1.00
var_ratio[4]  2.84    0.00 0.09 2.67 2.78 2.84 2.90  3.02  1000 1.00
var_ratio[5]  3.71    0.00 0.12 3.49 3.62 3.71 3.79  3.95  1000 1.00
var_ratio[6]  4.43    0.00 0.15 4.14 4.33 4.42 4.53  4.73  1000 1.00
var_ratio[7]  3.07    0.00 0.10 2.87 3.00 3.07 3.14  3.28  1000 1.00
var_ratio[8]  4.43    0.00 0.14 4.17 4.33 4.43 4.53  4.72  1000 1.00
var_ratio[9]  4.23    0.00 0.14 3.96 4.14 4.23 4.33  4.51  1000 1.00
var_ratio[10] 3.69    0.00 0.12 3.46 3.61 3.69 3.77  3.92  1000 1.00
var_ratio[11] 4.42    0.00 0.14 4.16 4.32 4.41 4.52  4.70  1000 1.00
var_ratio[12] 3.29    0.00 0.12 3.07 3.21 3.29 3.37  3.52  1000 1.00
var_ratio[13] 4.07    0.00 0.14 3.80 3.98 4.07 4.17  4.35  1000 1.00
var_ratio[14] 4.15    0.00 0.13 3.90 4.06 4.15 4.25  4.43  1000 1.00
var_ratio[15] 3.47    0.00 0.11 3.24 3.39 3.47 3.55  3.69  1000 1.00
var_ratio[16] 4.28    0.00 0.14 4.02 4.18 4.27 4.38  4.56  1000 1.00
var_ratio[17] 3.28    0.00 0.11 3.09 3.21 3.28 3.35  3.49  1000 1.00
var_ratio[18] 2.95    0.00 0.09 2.77 2.89 2.96 3.02  3.14  1000 1.00
var_ratio[19] 3.01    0.00 0.10 2.84 2.95 3.01 3.08  3.23  1000 1.00
var_ratio[20] 3.37    0.00 0.11 3.16 3.29 3.36 3.44  3.60  1000 1.00
var_ratio[21] 5.00    0.01 0.16 4.70 4.90 5.00 5.11  5.34  1000 1.00
var_ratio[22] 3.47    0.00 0.12 3.25 3.39 3.46 3.54  3.70  1000 1.00
var_ratio[23] 5.44    0.01 0.17 5.11 5.33 5.44 5.55  5.79  1000 1.00
var_ratio[24] 3.26    0.00 0.11 3.06 3.18 3.25 3.33  3.48  1000 1.00
