"","param","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","method","software"
"56","var_ratio[56]",2.89,0,0.09,2.71,2.83,2.89,2.95,3.07,1000,1,"cross","ANTs"
"57","var_ratio[57]",2.73,0,0.09,2.57,2.67,2.73,2.8,2.91,1000,1,"cross","ANTs"
"58","var_ratio[58]",2.82,0,0.1,2.64,2.75,2.82,2.88,3,1000,1,"cross","ANTs"
"59","var_ratio[59]",3.14,0,0.1,2.95,3.07,3.14,3.21,3.34,1000,1,"cross","ANTs"
"60","var_ratio[60]",2.7,0,0.09,2.51,2.64,2.7,2.76,2.89,1000,1,"cross","ANTs"
"61","var_ratio[61]",2.19,0,0.07,2.06,2.14,2.19,2.24,2.33,1000,1,"cross","ANTs"
"62","var_ratio[62]",3.68,0,0.12,3.46,3.59,3.68,3.76,3.91,1000,1,"cross","ANTs"
"63","sigma[1]",0.28,0,0,0.27,0.28,0.28,0.29,0.29,1000,1,"cross","ANTs"
"64","sigma[2]",0.39,0,0.01,0.38,0.38,0.39,0.39,0.4,1000,1,"cross","ANTs"
"65","sigma[3]",0.33,0,0.01,0.32,0.33,0.33,0.34,0.35,783,1,"cross","ANTs"
"66","sigma[4]",0.28,0,0,0.27,0.28,0.28,0.29,0.29,1000,1,"cross","ANTs"
"67","sigma[5]",0.29,0,0,0.28,0.28,0.29,0.29,0.29,1000,1,"cross","ANTs"
"68","sigma[6]",0.32,0,0.01,0.31,0.31,0.32,0.32,0.33,1000,1,"cross","ANTs"
"69","sigma[7]",0.32,0,0,0.31,0.32,0.32,0.32,0.33,1000,1,"cross","ANTs"
"70","sigma[8]",0.28,0,0,0.27,0.27,0.28,0.28,0.29,1000,1,"cross","ANTs"
"71","sigma[9]",0.32,0,0.01,0.3,0.31,0.31,0.32,0.33,1000,1,"cross","ANTs"
"72","sigma[10]",0.28,0,0,0.28,0.28,0.29,0.29,0.29,1000,1,"cross","ANTs"
"73","sigma[11]",0.32,0,0.01,0.31,0.31,0.32,0.32,0.33,689,1,"cross","ANTs"
"74","sigma[12]",0.32,0,0.01,0.31,0.31,0.32,0.32,0.33,1000,1,"cross","ANTs"
"75","sigma[13]",0.31,0,0,0.3,0.31,0.31,0.31,0.32,1000,1,"cross","ANTs"
"76","sigma[14]",0.25,0,0,0.24,0.25,0.25,0.25,0.26,1000,1,"cross","ANTs"
"77","sigma[15]",0.32,0,0.01,0.31,0.32,0.32,0.33,0.33,1000,1,"cross","ANTs"
"78","sigma[16]",0.33,0,0.01,0.32,0.33,0.33,0.34,0.35,1000,1,"cross","ANTs"
"79","sigma[17]",0.35,0,0.01,0.34,0.34,0.35,0.35,0.36,1000,1,"cross","ANTs"
"80","sigma[18]",0.32,0,0.01,0.31,0.32,0.32,0.33,0.33,1000,1,"cross","ANTs"
