"DktRegion","Pipeline","sigma.0.","sigma.25.","sigma.50.","sigma.75.","sigma.100.","sigma.sd","tau.0.","tau.25.","tau.50.","tau.75.","tau.100.","tau.sd","variance.ratio.0.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.100.","variance.ratio.sd"
"lMGH","ANTsCross",0.302062903762227,0.315186031515495,0.318671254675918,0.322246535103387,0.336603095840709,0.00526636997241113,0.862298460797258,0.939875295167419,0.95720757080813,0.975775701989091,1.06198193072328,0.0274211152381833,2.69782905439007,2.94026223966443,3.00374439487937,3.07050567856535,3.36451805894259,0.0994439838639582
"lPARH","ANTsCross",0.234168465778644,0.248290171543271,0.251179833199367,0.25400035192207,0.269496981886004,0.00427014484366982,0.89429964031484,0.958840875248591,0.976802643243625,0.995415092071546,1.07699886856799,0.0275576758738039,3.51178735413541,3.80889669454168,3.89090391670945,3.97910795222309,4.36581594779829,0.125887037308663
"lparaC","ANTsCross",0.310714694030399,0.324604807956028,0.328224999439243,0.332017741810227,0.34818482959436,0.00538799402507787,0.851865075751107,0.929395443953005,0.948096333626491,0.966186610598836,1.05202979205483,0.0272070386937001,2.56465314309872,2.82236319542559,2.88833490958462,2.95315129617976,3.24902933720021,0.0960804794034355
"lpOPER","ANTsCross",0.320023185922901,0.335128373556573,0.33875914895304,0.342453084330421,0.361820981549983,0.00557874145268213,0.86772994954704,0.930012211371144,0.948585947771418,0.966175398711871,1.04834188966361,0.0270027996279833,2.4963824305427,2.73826751684278,2.80007852542692,2.86234092884604,3.09961556010611,0.0925876599330462
"lpORB","ANTsCross",0.331226381004958,0.345867715065195,0.34969888444159,0.353640559197693,0.3754920741119,0.00576471314088546,0.864579550212119,0.932214855111006,0.949890027281729,0.968069222338413,1.06922629502,0.0274203217830702,2.4302991025728,2.65697415149848,2.71565441409366,2.77912483544541,3.05816634974865,0.0901882122043979
"lpTRI","ANTsCross",0.307198518294825,0.324132028199782,0.32757750141965,0.331342410038398,0.347241813983791,0.00542131110187428,0.855315572312602,0.932377969904658,0.950143730862951,0.968631490999408,1.05894255937904,0.0270943326709696,2.60728403111784,2.83713652425032,2.89947811844219,2.96663355936063,3.30471814988489,0.0968938701437465
"lperiCAL","ANTsCross",0.361261827878247,0.375390650941612,0.379516948751221,0.383905907015038,0.403235063485018,0.00623257388103234,0.84392588090929,0.90812862007986,0.925926730793007,0.944144713941441,1.02465029504447,0.0269482624077903,2.17474528152682,2.38551138107327,2.43906469188371,2.49644762531118,2.77509603010036,0.0836189629282744
"lpostC","ANTsCross",0.331333833702757,0.349195444103855,0.353099694519197,0.356995447976347,0.374768710322433,0.0058530681302916,0.845522693273235,0.917838700793569,0.93478933556352,0.95181991874453,1.0249631037735,0.0258594209047902,2.37624983942802,2.59106143084031,2.64656258128816,2.70368276303941,2.94259486598478,0.0860450963502088
"lPCC","ANTsCross",0.260552358092929,0.273161696014305,0.276426818817789,0.279615540331271,0.294126406301996,0.00467333013894213,0.895007256365605,0.960080754697116,0.978693034198521,0.997071770426365,1.07016179746441,0.0271658309118939,3.20542235320033,3.4629512224653,3.53968528173639,3.62049723525954,3.98676117428425,0.115497152403441
"lPreC","ANTsCross",0.343415256079001,0.358050162661,0.362001855035395,0.365961548438459,0.386498783966707,0.00595661771610357,0.841590975744809,0.914411493490055,0.933021537744546,0.950674137362165,1.04822988087559,0.0267319484736743,2.3055906846342,2.51914955478171,2.57871607116178,2.63292653277848,2.9072452128818,0.0846677216847045
