"DktRegion","Pipeline","AccuracyMean","AccuracyStd"
"lcACC","ANTsCross",7.01407333727913,0.777474525175432
"lcMFG","ANTsCross",6.70888204114887,0.794956420788554
"lCUN","ANTsCross",6.74847032540511,0.838382173489572
"lENT","ANTsCross",6.8419951108984,0.70045639821295
"lFUS","ANTsCross",7.07568757156679,0.768967561508943
"lIPL","ANTsCross",6.79102439947006,0.762479785211922
"lITG","ANTsCross",6.51533155457208,0.746888809820252
"liCC","ANTsCross",7.08373807166513,0.833608867314834
"lLOG","ANTsCross",6.53535987788705,0.807707316760597
"lLOF","ANTsCross",6.80229934685209,0.798169162663976
"lLING","ANTsCross",6.78205510152648,0.766468449840481
"lMOF","ANTsCross",6.75036065654304,0.737072220873354
"lMGH","ANTsCross",6.63180905119692,0.744402283497778
"lPARH","ANTsCross",6.97460514900173,0.739077582788599
"lparaC","ANTsCross",6.74322872127485,0.727890945950585
"lpOPER","ANTsCross",6.43701999742084,0.729963022122664
"lpORB","ANTsCross",6.86307364672011,0.750160880361364
"lpTRI","ANTsCross",6.60109123445696,0.881461917994911
"lperiCAL","ANTsCross",6.42434880471255,0.711122491501031
"lpostC","ANTsCross",6.35357259184196,0.709871636503178
"lPCC","ANTsCross",6.85710960336288,0.810665714106644
"lPreC","ANTsCross",6.48659160226566,0.71981677668399
"lPCUN","ANTsCross",7.11460187933911,0.792088791421724
"lrACC","ANTsCross",7.19919618279818,0.868077522891391
"lrMFG","ANTsCross",6.85165422689383,0.771593004169569
"lSFG","ANTsCross",6.68864437863198,0.760486812248117
"lSPL","ANTsCross",6.78199911999455,0.849329195373377
"lSTG","ANTsCross",6.28169427506872,0.72029213699522
"lSMAR","ANTsCross",6.63479380695753,0.739791519209223
"lTT","ANTsCross",6.40284551238178,0.776698153391436
"lINS","ANTsCross",6.98189783819689,0.736917412657565
"rcACC","ANTsCross",7.04495100436763,0.892413000441259
"rcMFG","ANTsCross",6.69867751781507,0.830858033761703
"rCUN","ANTsCross",6.75252475891122,0.753926189947833
"rENT","ANTsCross",6.70413409927455,0.801534880167205
"rFUS","ANTsCross",7.05148563012316,0.791371504478839
"rIPL","ANTsCross",6.63322856142821,0.794994428776738
"rITG","ANTsCross",6.91824434173552,0.772197091764213
