"DktRegion","Pipeline","AccuracyMean","AccuracyStd"
"lcACC","ANTsCross",2.50350265966251,0.28210668852968
"lcMFG","ANTsCross",2.47777314777721,0.285098080974421
"lCUN","ANTsCross",2.56935407646806,0.259096465416294
"lENT","ANTsCross",2.46907096390019,0.26777107861506
"lFUS","ANTsCross",2.42431917677621,0.265348932180404
"lIPL","ANTsCross",2.48442221272179,0.248697654992743
"lITG","ANTsCross",2.48237572403564,0.270983758642289
"liCC","ANTsCross",2.44151458038293,0.275236208015346
"lLOG","ANTsCross",2.49763698961398,0.274875417407839
"lLOF","ANTsCross",2.56526431016958,0.243792625764736
"lLING","ANTsCross",2.5726649097405,0.265542004259715
"lMOF","ANTsCross",2.47410805963,0.252294908332865
"lMGH","ANTsCross",2.49655203083581,0.270935252157637
"lPARH","ANTsCross",2.54347875600108,0.241630592429175
"lparaC","ANTsCross",2.53232116466293,0.256426309837759
"lpOPER","ANTsCross",2.49005486978131,0.258844004165
"lpORB","ANTsCross",2.51387264232496,0.262776816685528
"lpTRI","ANTsCross",2.5187927275923,0.257923550993605
"lperiCAL","ANTsCross",2.58964523339639,0.261061792868064
"lpostC","ANTsCross",2.50527190794314,0.240442988585665
"lPCC","ANTsCross",2.5481254608852,0.282960150482442
"lPreC","ANTsCross",2.52660712625616,0.265101102205565
"lPCUN","ANTsCross",2.47479672471989,0.238352493248371
"lrACC","ANTsCross",2.48488347099717,0.259660165007824
"lrMFG","ANTsCross",2.56694747048279,0.26057647750755
"lSFG","ANTsCross",2.46801194446609,0.286481570876207
"lSPL","ANTsCross",2.54040865868188,0.26594182632918
"lSTG","ANTsCross",2.4241052495856,0.287435799987367
"lSMAR","ANTsCross",2.49875558848687,0.286485580971728
"lTT","ANTsCross",2.52974570182811,0.240978707182698
"lINS","ANTsCross",2.50565917246021,0.255115048950172
"rcACC","ANTsCross",2.59434037646947,0.261404807750302
"rcMFG","ANTsCross",2.49189984379222,0.252404655354231
"rCUN","ANTsCross",2.59376034811822,0.228076405371306
"rENT","ANTsCross",2.46401613852324,0.246984741283634
"rFUS","ANTsCross",2.39864285245239,0.234443492340851
"rIPL","ANTsCross",2.44271369744031,0.245853256090581
"rITG","ANTsCross",2.49473149372655,0.28268788934813
"riCC","ANTsCross",2.44103840264815,0.285467041934162
"rLOG","ANTsCross",2.48428007636957,0.259967972863256
"rLOF","ANTsCross",2.56902935110904,0.246298067137947
"rLING","ANTsCross",2.54986149216007,0.260747249173261
"rMOF","ANTsCross",2.49391064199796,0.282367841092924
"rMGH","ANTsCross",2.46416060054326,0.25271151636064
"rPARH","ANTsCross",2.49659256908978,0.244920144120703
"rparaC","ANTsCross",2.56012437828144,0.287069505901929
"rpOPER","ANTsCross",2.46110612397651,0.254379965635556
"rpORB","ANTsCross",2.55220604649349,0.256132389051738
"rpTRI","ANTsCross",2.52372084177636,0.284200479252122
"rperiCAL","ANTsCross",2.52912185048748,0.242704702781491
"rpostC","ANTsCross",2.54506439710922,0.249868470935645
"rPCC","ANTsCross",2.4938811876097,0.259381864823253
"rPreC","ANTsCross",2.51080897496734,0.256454384263997
"rPCUN","ANTsCross",2.43563433343494,0.232709508675929
"rrACC","ANTsCross",2.5239733047074,0.264377705301933
"rrMFG","ANTsCross",2.55593323512025,0.231580501924349
"rSFG","ANTsCross",2.51448931819687,0.226694145129628
"rSPL","ANTsCross",2.55971180251803,0.233235725988864
"rSTG","ANTsCross",2.4093841231185,0.247782481577889
"rSMAR","ANTsCross",2.45054902107949,0.236826708531638
"rTT","ANTsCross",2.50927530991776,0.240838813100392
"rINS","ANTsCross",2.48868990154702,0.304666151609624
"lcACC","ANTsNative",2.53245180207924,0.246211921833533
"lcMFG","ANTsNative",2.51219848765379,0.241126735192688
"lCUN","ANTsNative",2.5996443500452,0.237852824189707
"lENT","ANTsNative",2.43695047803874,0.263183147949179
"lFUS","ANTsNative",2.38302472734992,0.249516555467704
"lIPL","ANTsNative",2.48208416141519,0.251153485750383
"lITG","ANTsNative",2.37452699530672,0.239568567072986
"liCC","ANTsNative",2.44234765153246,0.260865137830134
"lLOG","ANTsNative",2.5185986205097,0.24281728082154
"lLOF","ANTsNative",2.50876658865203,0.253634748640641
"lLING","ANTsNative",2.57375371777016,0.242361278288827
"lMOF","ANTsNative",2.44950064202838,0.258506200263709
"lMGH","ANTsNative",2.38921196761417,0.24747139854388
"lPARH","ANTsNative",2.47249601554469,0.253600575085332
"lparaC","ANTsNative",2.59475579151795,0.243977589239589
"lpOPER","ANTsNative",2.46517413430439,0.248404679595859
"lpORB","ANTsNative",2.51735674351712,0.247519692446981
"lpTRI","ANTsNative",2.50289282042654,0.248098031229933
"lperiCAL","ANTsNative",2.60410991089254,0.240259506189134
"lpostC","ANTsNative",2.53967955570335,0.245004810836104
"lPCC","ANTsNative",2.51879399675064,0.250678833978243
"lPreC","ANTsNative",2.55101011875789,0.251474797187596
"lPCUN","ANTsNative",2.48034436284099,0.239067649416593
"lrACC","ANTsNative",2.45097326425274,0.259387080716764
"lrMFG","ANTsNative",2.49973797264811,0.256117683222799
"lSFG","ANTsNative",2.49156657414246,0.245128556851141
"lSPL","ANTsNative",2.58725995014671,0.242001354840412
"lSTG","ANTsNative",2.39712646595694,0.245602461956591
"lSMAR","ANTsNative",2.46931895760051,0.252211747351956
"lTT","ANTsNative",2.53528060962918,0.243097625826127
"lINS","ANTsNative",2.43979179283103,0.235651484856498
"rcACC","ANTsNative",2.54076314166318,0.269390839200975
"rcMFG","ANTsNative",2.53880158387992,0.224199555723436
"rCUN","ANTsNative",2.58668957188986,0.244206603107328
"rENT","ANTsNative",2.42122968900438,0.274328923474864
"rFUS","ANTsNative",2.37468165767141,0.252378015290028
"rIPL","ANTsNative",2.42930774927318,0.255263357036424
"rITG","ANTsNative",2.40695869746348,0.260676994120169
"riCC","ANTsNative",2.42349455014772,0.277598165469924
"rLOG","ANTsNative",2.48649299789073,0.248856401183821
"rLOF","ANTsNative",2.4942832619786,0.255724729139067
"rLING","ANTsNative",2.55159559492519,0.25075700715295
"rMOF","ANTsNative",2.41035020572487,0.266262917439512
"rMGH","ANTsNative",2.37540392502414,0.254631096056729
"rPARH","ANTsNative",2.42901441637907,0.281768107313255
"rparaC","ANTsNative",2.58977472474004,0.240523386837132
"rpOPER","ANTsNative",2.47855745497964,0.252079403064993
"rpORB","ANTsNative",2.54453866490169,0.26144667267222
"rpTRI","ANTsNative",2.52153883120772,0.259459012034671
"rperiCAL","ANTsNative",2.59807220430647,0.24219911799528
"rpostC","ANTsNative",2.55751924784314,0.240518932751782
"rPCC","ANTsNative",2.45694588896075,0.271018791207178
"rPreC","ANTsNative",2.54234309215416,0.233923371549333
"rPCUN","ANTsNative",2.46559456522613,0.241019928767771
"rrACC","ANTsNative",2.48996538492253,0.273412579507785
"rrMFG","ANTsNative",2.49806692186681,0.259105293302889
"rSFG","ANTsNative",2.45850335668217,0.244702753605435
"rSPL","ANTsNative",2.5706216838247,0.238302163020963
"rSTG","ANTsNative",2.40287286353435,0.269329930764201
"rSMAR","ANTsNative",2.46536591798688,0.256511146764541
"rTT","ANTsNative",2.55303809510817,0.250145577698201
"rINS","ANTsNative",2.40390991208316,0.286507573846108
"lcACC","ANTsSST",2.52363534088997,0.246888632910271
"lcMFG","ANTsSST",2.53074618618469,0.247996121950003
"lCUN","ANTsSST",2.59341739451105,0.237197247584372
"lENT","ANTsSST",2.42163641123182,0.267114522420323
"lFUS","ANTsSST",2.37124890148109,0.244686795107872
"lIPL","ANTsSST",2.49317645639772,0.251230130890899
"lITG","ANTsSST",2.37606033496728,0.239383805994417
"liCC","ANTsSST",2.42106019416253,0.258619300282818
"lLOG","ANTsSST",2.51766599474521,0.242713065375949
"lLOF","ANTsSST",2.5232531968378,0.253949285031641
"lLING","ANTsSST",2.55931984765231,0.24033682547083
"lMOF","ANTsSST",2.44606415612115,0.263064735848156
"lMGH","ANTsSST",2.40872356561725,0.251330557030928
"lPARH","ANTsSST",2.46634569658238,0.255638462456206
"lparaC","ANTsSST",2.59086853242276,0.243321461046627
"lpOPER","ANTsSST",2.45969981489438,0.250138655626894
"lpORB","ANTsSST",2.52587383173125,0.25049018421208
"lpTRI","ANTsSST",2.50025672703291,0.248889285176028
