"DktRegion","Pipeline","sigma.0.","sigma.2.5.","sigma.25.","sigma.50.","sigma.75.","sigma.97.5.","sigma.100.","sigma.sd","tau0.0.","tau0.2.5.","tau0.25.","tau0.50.","tau0.75.","tau0.97.5.","tau0.100.","tau_0.sd","tau1.0.","tau1.2.5.","tau1.25.","tau1.50.","tau1.75.","tau1.97.5.","tau1.100.","tau_1.sd","variance.ratio.0.","variance.ratio.2.5.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.97.5.","variance.ratio.100.","variance.ratio.sd","variance.ratio.exp.0.","variance.ratio.exp.2.5.","variance.ratio.exp.25.","variance.ratio.exp.50.","variance.ratio.exp.75.","variance.ratio.exp.97.5.","variance.ratio.exp.100.","variance.ratio.exp.sd"
"lPCUN","ANTsXNet",0.340162374313274,0.351045522951668,0.358837955518185,0.362807010657082,0.366721001051387,0.374787706867913,0.384080217368608,0.00600720598650882,0.851040425681639,0.891946149287856,0.922193790040623,0.940987749303642,0.960183109527668,0.996836704037808,1.06391464693091,0.0275214001196683,0.0399404764564415,0.0675183150157809,0.249748795911689,0.753051220360595,3.18147096371043,8.03786477491889,11.307137973044,2.35948466346481,2.31496242593188,2.43392058786545,2.53697084684769,2.59382921198679,2.65446849482575,2.77187192424529,2.89635402891985,0.0871964832705687,2.5361074089666,2.72537450673245,3.25760889533499,4.6772145551812,11.3779005940906,24.8067917313978,34.9548530409998,6.51638951451541
"lrACC","ANTsXNet",0.401757372812272,0.413544183145218,0.422057865492586,0.426849212425709,0.431723739801518,0.441410013460404,0.455213641208634,0.00714802200153225,0.833484787109683,0.865273347091685,0.897072987300936,0.914906633510711,0.933686675699989,0.969766001477287,1.01082601216774,0.0268315323557851,0.545355316424163,0.889293767956088,2.46434893962873,3.4347268642361,4.84413709015844,7.84259019037436,10.047557438558,1.83574939741194,1.90576321395163,2.00170131592006,2.09312195404659,2.14328898481003,2.19300000050341,2.29449167479552,2.38287588013868,0.073340944936926,3.42829520087632,4.24963632811056,7.9179215266372,10.1848267793489,13.4830299570238,20.5601409970387,26.1346108041298,4.30675874999931
"lrMFG","ANTsXNet",0.456686199138903,0.466502966685111,0.475861100436941,0.481227218463423,0.486766286979676,0.496547258138484,0.513098492503498,0.00779021511760288,0.804263736532175,0.834104457172343,0.866023454797632,0.881508330387119,0.899735085025832,0.934213487170519,1.0006465405988,0.0251525100022913,1.15968595557185,1.593805202205,2.56792455209741,3.92392739651046,6.68835971105248,19.6648582969425,23.2917302004649,4.46211415655815,1.63795186201504,1.7154892115544,1.792957689989,1.83363071156541,1.87695966276757,1.96330317720687,2.09070705622528,0.0618516662220414,4.21876007843108,5.14170614457029,7.16021226696086,9.93671306064685,15.7344845512486,42.6158740141346,50.31412307959,9.27173549502564
"lSFG","ANTsXNet",0.431685562209396,0.441265294486925,0.450511594129062,0.455672649924525,0.460931929365003,0.471237465768276,0.484853833533912,0.00769541137602956,0.817827442662295,0.847105440005509,0.879385165533836,0.897678307741569,0.916733077542996,0.95344750771775,1.00532369806761,0.0272866323381356,0.248080641378878,0.430550817027901,1.41708209984552,2.3367619824521,5.3351311842463,8.45109910488701,10.1845627307059,2.40432648668772,1.7457932677676,1.83583723837364,1.92438008463527,1.97080036696598,2.01807686410129,2.11038483248599,2.25048196007483,0.0704213865661108,2.53821763771116,2.92435663305872,5.08197874143138,7.14011717819754,13.7184521382139,20.4676489563489,24.4598424415663,5.27932351358604
"lSPL","ANTsXNet",0.377352458569932,0.386835651131023,0.395307054156061,0.399860609903609,0.404532826284322,0.413731498545761,0.424743117539183,0.0068511846862286,0.842260857524949,0.879860801380991,0.912764642870165,0.929550239501028,0.946996741122091,0.981617342733033,1.03040327955379,0.025577462691511,0.718611012111969,0.849920601515124,2.2310378138536,3.61588814835468,6.84502053074318,18.9422507539565,23.1364173319194,5.08488767225318,2.05627357054704,2.18352320037531,2.27240388996115,2.3243554076006,2.37704375271797,2.47845815095937,2.64885554552318,0.0764400162972643,3.86166329226995,4.45985643125562,7.91620598727173,11.3263512019715,19.3729871496482,49.8228576698358,62.1687513958388,12.7066054169457
"lSTG","ANTsXNet",0.404470814310349,0.413520885533858,0.422133378219759,0.426817965759444,0.431573475407183,0.440826013947635,0.452755161267879,0.00695281136014667,0.822599103411112,0.864329905232132,0.894517867227395,0.912938646353382,0.931158237374256,0.967736412214684,1.00305498894755,0.0265542534081012,0.194678835800946,0.357679994603448,0.878271714635524,1.75418730416583,5.94015228265546,10.8211583046462,12.8999068176026,3.25889331541002,1.9099447656165,2.00588862613187,2.09141217776396,2.13876670288939,2.18605703945672,2.28623843128656,2.40323556322896,0.0714373788366067,2.45318761601743,2.95473539491566,4.19913827490135,6.24475479707678,16.0330125954734,27.6814453355745,32.6225859092207,7.64329774850201
"lSMAR","ANTsXNet",0.478603630856718,0.490953684360206,0.501221549439072,0.50696600628821,0.512530303005574,0.52348782983626,0.536271213672312,0.00829381381607716,0.778417298522699,0.816941807885164,0.848082772547866,0.865865574743255,0.884261422944849,0.917715800461021,0.96866989880757,0.0262142627260299,0.540420411255545,0.774205145522022,1.44471737897936,2.61175957580754,11.357998788162,19.5440422556912,23.1466082152237,6.23020101632571,1.51586158901136,1.59428238205472,1.6690109852037,1.7083525236821,1.74922999862061,1.82640219332486,1.93729833661209,0.0596340783633063,2.76265590740651,3.22364685425144,4.55541299724388,6.90063785143422,23.9984740387583,40.4820907521017,47.4511259885574,12.2978054478022
"lTT","ANTsXNet",0.398726777681969,0.411719952112967,0.41978530982229,0.424575646625425,0.429190829359318,0.438633350363081,0.452753017943929,0.00692206366585338,0.811667881800424,0.856803497835905,0.887463780322447,0.904538083337526,0.922773457528428,0.956898991747959,1.01766526747848,0.025969795565709,0.348301855897204,0.534209731863722,0.776225474093852,1.23873776683393,2.1515738817127,4.48064951519678,5.45440233155518,1.04763845235916,1.90524341946445,1.9989955667514,2.08303221577359,2.13040471961646,2.18059529629937,2.27656419456047,2.4028581586342,0.0718991705886313,2.91260464681409,3.37124469851823,3.95983461433258,5.06902529690085,7.20015420325505,12.6977517295752,14.8186097713975,2.4674123786801
"lINS","ANTsXNet",0.352312954645643,0.362442731383113,0.36992845326213,0.374003571908584,0.378401519732691,0.386199897793552,0.395404241168523,0.00616799542636321,0.845616104085814,0.878897967001179,0.911213683923267,0.928665986513255,0.94705198409236,0.982764020123957,1.02735449542116,0.0262737147749726,0.143931406540001,0.22191265502178,1.34828628812651,4.23646796119967,6.06623718966391,10.3584333077172,12.535212748509,3.02663464282795,2.22229197472622,2.3265089491355,2.42753604552973,2.48375048056774,2.54081614743918,2.64780729783996,2.75789506706127,0.081945814972954,2.7256763823806,3.06660728938564,6.11517217569836,13.7819107578357,18.7063979720889,30.2114144430406,36.0356091197039,8.09952600526238
"rcACC","ANTsXNet",0.342029400582299,0.352164619718354,0.35998584939011,0.36415700843432,0.368256191791296,0.376067398076976,0.384266547297228,0.00606739494172119,0.858103469703349,0.89642066991833,0.929208196990112,0.946775980920517,0.966586221158767,1.00196829869378,1.04518435965731,0.0273426575669714,0.172849593455555,0.23163974897042,0.550643103753299,1.25507617868065,2.09665190933592,5.519253765202,6.55052325851972,1.3651492667063,2.30289916420898,2.43717701822096,2.54212716397427,2.60251849437728,2.66281342646347,2.7821444660974,2.96981384306525,0.087598316481575,2.9279340977771,3.22157195120891,4.08391188662429,6.06438840294572,8.35987627952186,17.6982141481042,20.6414117450771,3.74252308390522
