"","region_var","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","method"
"65","sigma[3]",0.29,0,0,0.28,0.28,0.29,0.29,0.3,1000,1,"cross"
"66","sigma[4]",0.25,0,0,0.24,0.24,0.25,0.25,0.25,1000,1,"cross"
"67","sigma[5]",0.24,0,0,0.23,0.24,0.24,0.24,0.25,966,1,"cross"
"68","sigma[6]",0.28,0,0.01,0.27,0.27,0.28,0.28,0.29,1000,1,"cross"
"69","sigma[7]",0.29,0,0,0.28,0.29,0.29,0.29,0.3,1000,1,"cross"
"70","sigma[8]",0.24,0,0,0.23,0.24,0.24,0.24,0.25,1000,0.99,"cross"
"71","sigma[9]",0.28,0,0.01,0.27,0.28,0.28,0.29,0.29,1000,1,"cross"
"72","sigma[10]",0.22,0,0,0.21,0.22,0.22,0.22,0.23,883,1,"cross"
"73","sigma[11]",0.26,0,0,0.25,0.26,0.26,0.26,0.27,1000,1,"cross"
"74","sigma[12]",0.27,0,0,0.26,0.27,0.27,0.27,0.28,1000,1,"cross"
"75","sigma[13]",0.28,0,0,0.27,0.27,0.28,0.28,0.29,1000,1,"cross"
"76","sigma[14]",0.18,0,0,0.17,0.18,0.18,0.18,0.19,1000,1,"cross"
"77","sigma[15]",0.27,0,0,0.26,0.27,0.27,0.27,0.28,1000,1,"cross"
"78","sigma[16]",0.28,0,0.01,0.27,0.28,0.28,0.29,0.29,1000,1,"cross"
"79","sigma[17]",0.3,0,0.01,0.29,0.3,0.3,0.3,0.31,1000,1,"cross"
"80","sigma[18]",0.28,0,0,0.27,0.28,0.28,0.29,0.29,978,1,"cross"
"81","sigma[19]",0.36,0,0.01,0.34,0.35,0.36,0.36,0.37,1000,1,"cross"
"82","sigma[20]",0.29,0,0.01,0.28,0.28,0.29,0.29,0.3,898,1,"cross"
"83","sigma[21]",0.22,0,0,0.21,0.22,0.22,0.22,0.23,1000,1,"cross"
"84","sigma[22]",0.3,0,0.01,0.29,0.29,0.3,0.3,0.31,1000,1,"cross"
"85","sigma[23]",0.22,0,0,0.21,0.22,0.22,0.22,0.23,1000,1,"cross"
"86","sigma[24]",0.26,0,0,0.25,0.25,0.26,0.26,0.27,1000,1,"cross"
"87","sigma[25]",0.31,0,0.01,0.3,0.3,0.31,0.31,0.32,750,1,"cross"
"88","sigma[26]",0.32,0,0.01,0.31,0.32,0.32,0.33,0.34,1000,1,"cross"
"89","sigma[27]",0.29,0,0.01,0.28,0.29,0.29,0.3,0.3,1000,1,"cross"
"90","sigma[28]",0.25,0,0,0.24,0.25,0.25,0.25,0.26,955,1,"cross"
"91","sigma[29]",0.28,0,0.01,0.27,0.28,0.28,0.29,0.29,934,1,"cross"
"92","sigma[30]",0.37,0,0.01,0.36,0.37,0.37,0.38,0.39,1000,0.99,"cross"
"93","sigma[31]",0.22,0,0,0.21,0.22,0.22,0.22,0.23,984,1,"cross"
"94","sigma[32]",0.23,0,0,0.22,0.23,0.23,0.23,0.24,935,1,"cross"
"95","sigma[33]",0.34,0,0.01,0.33,0.34,0.34,0.34,0.35,1000,1,"cross"
"96","sigma[34]",0.3,0,0.01,0.29,0.3,0.3,0.3,0.31,1000,1,"cross"
"97","sigma[35]",0.25,0,0,0.24,0.25,0.25,0.26,0.26,825,1,"cross"
"98","sigma[36]",0.24,0,0,0.23,0.23,0.24,0.24,0.24,1000,1.01,"cross"
"99","sigma[37]",0.28,0,0,0.27,0.27,0.28,0.28,0.29,1000,1,"cross"
"100","sigma[38]",0.28,0,0,0.27,0.28,0.28,0.28,0.29,979,1,"cross"
"101","sigma[39]",0.24,0,0,0.23,0.24,0.24,0.24,0.25,828,1,"cross"
"102","sigma[40]",0.29,0,0.01,0.28,0.29,0.29,0.29,0.3,1000,1,"cross"
"103","sigma[41]",0.25,0,0,0.24,0.24,0.25,0.25,0.25,1000,1,"cross"
"104","sigma[42]",0.28,0,0,0.27,0.27,0.28,0.28,0.29,1000,1,"cross"
"105","sigma[43]",0.28,0,0,0.27,0.28,0.28,0.28,0.29,1000,1.01,"cross"
"106","sigma[44]",0.27,0,0,0.26,0.27,0.27,0.28,0.28,851,1,"cross"
"107","sigma[45]",0.19,0,0,0.19,0.19,0.19,0.19,0.2,1000,1.01,"cross"
"108","sigma[46]",0.28,0,0,0.27,0.27,0.28,0.28,0.29,1000,1.01,"cross"
"109","sigma[47]",0.3,0,0.01,0.29,0.29,0.3,0.3,0.31,1000,1,"cross"
"110","sigma[48]",0.29,0,0.01,0.28,0.28,0.29,0.29,0.3,1000,1,"cross"
"111","sigma[49]",0.29,0,0.01,0.28,0.28,0.29,0.29,0.3,963,1,"cross"
"112","sigma[50]",0.34,0,0.01,0.32,0.33,0.34,0.34,0.35,877,1,"cross"
"113","sigma[51]",0.29,0,0.01,0.28,0.29,0.29,0.3,0.3,1000,1,"cross"
"114","sigma[52]",0.22,0,0,0.22,0.22,0.22,0.23,0.23,929,1.01,"cross"
"115","sigma[53]",0.3,0,0.01,0.29,0.29,0.3,0.3,0.31,956,1,"cross"
"116","sigma[54]",0.23,0,0,0.22,0.23,0.23,0.23,0.24,1000,0.99,"cross"
"117","sigma[55]",0.26,0,0,0.25,0.25,0.26,0.26,0.27,1000,1,"cross"
"118","sigma[56]",0.29,0,0.01,0.28,0.29,0.29,0.29,0.3,1000,1,"cross"
"119","sigma[57]",0.3,0,0.01,0.29,0.3,0.3,0.31,0.32,1000,0.99,"cross"
"120","sigma[58]",0.29,0,0.01,0.28,0.29,0.29,0.29,0.3,966,1,"cross"
"121","sigma[59]",0.25,0,0,0.24,0.25,0.25,0.25,0.26,1000,1,"cross"
"122","sigma[60]",0.29,0,0.01,0.28,0.29,0.29,0.29,0.3,1000,1,"cross"
"123","sigma[61]",0.39,0,0.01,0.38,0.38,0.39,0.39,0.4,979,1,"cross"
"124","sigma[62]",0.21,0,0,0.2,0.21,0.21,0.21,0.22,1000,1,"cross"
"125","tau_0[1]",0.99,0,0.03,0.93,0.97,0.99,1.01,1.05,978,1,"cross"
"126","tau_0[2]",0.93,0,0.03,0.88,0.92,0.93,0.95,0.99,1000,1,"cross"
"127","tau_0[3]",0.97,0,0.03,0.91,0.95,0.97,0.99,1.02,777,1.01,"cross"
"128","tau_0[4]",0.98,0,0.03,0.92,0.96,0.98,1,1.03,1000,1,"cross"
"129","tau_0[5]",0.98,0,0.03,0.93,0.97,0.98,1,1.04,1000,1,"cross"
"130","tau_0[6]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.02,913,1,"cross"
"131","tau_0[7]",0.96,0,0.03,0.9,0.94,0.96,0.98,1.02,1000,1,"cross"
"132","tau_0[8]",0.98,0,0.03,0.93,0.96,0.98,1,1.04,1000,1,"cross"
"133","tau_0[9]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.01,1000,1,"cross"
"134","tau_0[10]",0.99,0,0.03,0.93,0.97,0.99,1.01,1.05,1000,1,"cross"
"135","tau_0[11]",0.98,0,0.03,0.93,0.96,0.98,1,1.04,1000,1,"cross"
"136","tau_0[12]",0.97,0,0.03,0.92,0.95,0.97,0.99,1.03,1000,1,"cross"
"137","tau_0[13]",0.97,0,0.03,0.91,0.95,0.97,0.98,1.02,1000,1,"cross"
"138","tau_0[14]",1,0,0.03,0.95,0.97,0.99,1.01,1.06,991,1,"cross"
"139","tau_0[15]",0.97,0,0.03,0.91,0.95,0.96,0.98,1.02,1000,1,"cross"
"140","tau_0[16]",0.96,0,0.03,0.91,0.95,0.96,0.98,1.02,1000,1,"cross"
"141","tau_0[17]",0.97,0,0.03,0.92,0.95,0.97,0.99,1.03,1000,1,"cross"
"142","tau_0[18]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.02,987,1,"cross"
"143","tau_0[19]",0.94,0,0.03,0.89,0.92,0.94,0.96,0.99,1000,1,"cross"
"144","tau_0[20]",0.95,0,0.03,0.9,0.93,0.95,0.97,1.01,1000,1,"cross"
"145","tau_0[21]",1,0,0.03,0.94,0.97,1,1.01,1.05,1000,1,"cross"
"146","tau_0[22]",0.96,0,0.03,0.9,0.94,0.95,0.97,1.01,1000,1,"cross"
"147","tau_0[23]",0.99,0,0.03,0.94,0.97,0.99,1.01,1.05,945,1,"cross"
"148","tau_0[24]",0.98,0,0.03,0.92,0.96,0.98,1,1.04,1000,1,"cross"
"149","tau_0[25]",0.96,0,0.03,0.9,0.94,0.96,0.98,1.01,903,1.01,"cross"
"150","tau_0[26]",0.95,0,0.03,0.9,0.93,0.95,0.97,1.01,879,1,"cross"
"151","tau_0[27]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.02,950,1,"cross"
"152","tau_0[28]",0.98,0,0.03,0.92,0.96,0.97,1,1.03,1000,1,"cross"
"153","tau_0[29]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.02,908,1,"cross"
"154","tau_0[30]",0.92,0,0.03,0.87,0.9,0.92,0.94,0.98,1000,1,"cross"
"155","tau_0[31]",1,0,0.03,0.94,0.98,1,1.01,1.05,941,1,"cross"
"156","tau_0[32]",1,0,0.03,0.95,0.98,1,1.02,1.06,975,1,"cross"
"157","tau_0[33]",0.94,0,0.03,0.89,0.92,0.94,0.96,1,1000,1,"cross"
"158","tau_0[34]",0.96,0,0.03,0.9,0.93,0.96,0.98,1.01,985,1,"cross"
"159","tau_0[35]",0.98,0,0.03,0.93,0.97,0.98,1,1.04,1000,1,"cross"
"160","tau_0[36]",0.99,0,0.03,0.93,0.97,0.99,1.01,1.04,1000,1.01,"cross"
"161","tau_0[37]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.02,882,1.01,"cross"
"162","tau_0[38]",0.97,0,0.03,0.91,0.95,0.97,0.99,1.03,935,1,"cross"
"163","tau_0[39]",0.98,0,0.03,0.93,0.96,0.98,1,1.04,1000,1,"cross"
"164","tau_0[40]",0.95,0,0.03,0.9,0.93,0.95,0.97,1,1000,1,"cross"
"165","tau_0[41]",0.99,0,0.03,0.94,0.97,0.99,1.01,1.05,1000,1,"cross"
"166","tau_0[42]",0.96,0,0.03,0.9,0.94,0.96,0.98,1.01,971,1,"cross"
"167","tau_0[43]",0.98,0,0.03,0.92,0.96,0.98,1,1.04,1000,1,"cross"
"168","tau_0[44]",0.97,0,0.03,0.92,0.95,0.97,0.99,1.03,976,0.99,"cross"
"169","tau_0[45]",1,0,0.03,0.94,0.98,1,1.02,1.06,1000,1,"cross"
"170","tau_0[46]",0.97,0,0.03,0.92,0.95,0.97,0.99,1.03,981,1,"cross"
"171","tau_0[47]",0.97,0,0.03,0.91,0.95,0.97,0.99,1.02,995,1.01,"cross"
"172","tau_0[48]",0.97,0,0.03,0.92,0.95,0.98,0.99,1.03,1000,1,"cross"
"173","tau_0[49]",0.97,0,0.03,0.92,0.95,0.97,0.99,1.03,1000,1,"cross"
"174","tau_0[50]",0.94,0,0.03,0.88,0.92,0.94,0.96,0.99,959,1,"cross"
"175","tau_0[51]",0.96,0,0.03,0.9,0.94,0.95,0.97,1.01,958,1,"cross"
"176","tau_0[52]",1,0,0.03,0.95,0.98,1,1.02,1.06,1000,0.99,"cross"
"177","tau_0[53]",0.95,0,0.03,0.9,0.93,0.95,0.97,1.01,851,1.01,"cross"
"178","tau_0[54]",0.98,0,0.03,0.92,0.96,0.98,1,1.04,1000,1,"cross"
"179","tau_0[55]",0.98,0,0.03,0.92,0.96,0.98,1,1.04,968,1,"cross"
"180","tau_0[56]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.02,1000,1,"cross"
"181","tau_0[57]",0.96,0,0.03,0.91,0.94,0.96,0.98,1.02,906,1,"cross"
"182","tau_0[58]",0.97,0,0.03,0.91,0.95,0.97,0.99,1.02,1000,1,"cross"
"183","tau_0[59]",0.99,0,0.03,0.93,0.97,0.99,1,1.04,1000,1,"cross"
"184","tau_0[60]",0.95,0,0.03,0.9,0.93,0.95,0.97,1.01,973,1.02,"cross"
"185","tau_0[61]",0.93,0,0.03,0.87,0.91,0.93,0.95,0.99,1000,1,"cross"
"186","tau_0[62]",1,0,0.03,0.95,0.99,1,1.02,1.07,1000,1,"cross"
"187","var_ratio[1]",5.23,0.01,0.18,4.89,5.11,5.22,5.35,5.59,839,1,"long1"
"188","var_ratio[2]",3.52,0,0.12,3.3,3.45,3.53,3.6,3.75,962,1,"long1"
"189","var_ratio[3]",3.64,0,0.13,3.39,3.55,3.64,3.72,3.9,1000,1,"long1"
"190","var_ratio[4]",3.31,0,0.12,3.1,3.23,3.31,3.39,3.54,1000,1,"long1"
"191","var_ratio[5]",3.83,0,0.13,3.59,3.75,3.83,3.92,4.09,955,1,"long1"
"192","var_ratio[6]",4.76,0.01,0.17,4.46,4.64,4.75,4.87,5.1,1000,1,"long1"
"193","var_ratio[7]",2.97,0,0.1,2.78,2.9,2.97,3.04,3.17,1000,1,"long1"
"194","var_ratio[8]",4.65,0.01,0.16,4.35,4.55,4.64,4.74,4.98,844,1,"long1"
"195","var_ratio[9]",4.38,0,0.15,4.08,4.29,4.38,4.49,4.68,957,1,"long1"
"196","var_ratio[10]",3.84,0,0.13,3.6,3.75,3.84,3.93,4.1,939,1,"long1"
"197","var_ratio[11]",5.01,0.01,0.17,4.7,4.9,5,5.11,5.35,1000,1,"long1"
"198","var_ratio[12]",3.3,0,0.11,3.08,3.23,3.3,3.37,3.51,1000,1,"long1"
"199","var_ratio[13]",4.16,0,0.14,3.89,4.07,4.16,4.25,4.43,947,1,"long1"
"200","var_ratio[14]",5.28,0.01,0.19,4.93,5.15,5.28,5.41,5.65,948,1.01,"long1"
"201","var_ratio[15]",3.48,0,0.12,3.26,3.39,3.47,3.56,3.71,1000,1,"long1"
"202","var_ratio[16]",4.32,0,0.15,4.04,4.22,4.32,4.42,4.64,1000,1,"long1"
"203","var_ratio[17]",3.44,0,0.12,3.23,3.37,3.44,3.52,3.69,1000,1,"long1"
"204","var_ratio[18]",2.94,0,0.11,2.74,2.88,2.94,3.01,3.16,993,1,"long1"
"205","var_ratio[19]",3.05,0,0.1,2.85,2.98,3.05,3.12,3.26,847,1.01,"long1"
"206","var_ratio[20]",3.44,0,0.12,3.22,3.35,3.43,3.51,3.69,975,1,"long1"
"207","var_ratio[21]",5.31,0.01,0.18,4.97,5.19,5.3,5.43,5.69,912,1,"long1"
"208","var_ratio[22]",3.48,0,0.12,3.25,3.4,3.48,3.56,3.74,1000,1,"long1"
"209","var_ratio[23]",5.97,0.01,0.21,5.57,5.84,5.96,6.11,6.38,1000,1,"long1"
"210","var_ratio[24]",3.24,0,0.11,3.04,3.17,3.24,3.31,3.49,1000,1,"long1"
"211","var_ratio[25]",3.87,0,0.14,3.61,3.78,3.87,3.96,4.15,1000,1.01,"long1"
"212","var_ratio[26]",3.7,0,0.13,3.46,3.61,3.7,3.78,3.95,955,1,"long1"
"213","var_ratio[27]",4.31,0,0.15,4.04,4.21,4.31,4.41,4.62,1000,1,"long1"
"214","var_ratio[28]",4.76,0.01,0.17,4.44,4.64,4.76,4.88,5.11,1000,1,"long1"
"215","var_ratio[29]",4.91,0.01,0.17,4.59,4.79,4.9,5.02,5.23,1000,1,"long1"
"216","var_ratio[30]",2.76,0,0.1,2.58,2.7,2.76,2.83,2.96,1000,1.01,"long1"
"217","var_ratio[31]",4.12,0,0.14,3.85,4.02,4.12,4.21,4.42,1000,1,"long1"
"218","var_ratio[32]",4.63,0.01,0.16,4.33,4.51,4.62,4.73,4.94,978,1,"long1"
"219","var_ratio[33]",3.68,0,0.13,3.42,3.6,3.68,3.77,3.94,1000,1,"long1"
"220","var_ratio[34]",2.95,0,0.1,2.76,2.88,2.95,3.02,3.16,1000,1,"long1"
"221","var_ratio[35]",3.11,0,0.11,2.92,3.04,3.11,3.18,3.32,1000,1,"long1"
"222","var_ratio[36]",3.85,0,0.13,3.61,3.76,3.85,3.94,4.11,950,1,"long1"
"223","var_ratio[37]",4.62,0,0.15,4.33,4.52,4.61,4.72,4.92,976,1,"long1"
"224","var_ratio[38]",3.04,0,0.11,2.84,2.97,3.04,3.11,3.27,911,1.01,"long1"
"225","var_ratio[39]",4,0,0.14,3.73,3.91,3.99,4.08,4.29,986,1,"long1"
"226","var_ratio[40]",4.11,0,0.15,3.83,4.01,4.11,4.2,4.4,946,1,"long1"
"227","var_ratio[41]",3.93,0,0.13,3.67,3.84,3.93,4.02,4.19,883,1,"long1"
"228","var_ratio[42]",3.92,0,0.13,3.67,3.83,3.92,4.01,4.17,922,1,"long1"
"229","var_ratio[43]",3.62,0,0.12,3.38,3.53,3.62,3.7,3.85,1000,1,"long1"
"230","var_ratio[44]",4.33,0,0.15,4.05,4.23,4.33,4.43,4.63,1000,1,"long1"
"231","var_ratio[45]",5.49,0.01,0.18,5.16,5.35,5.49,5.61,5.86,1000,1,"long1"
"232","var_ratio[46]",2.99,0,0.1,2.8,2.92,2.98,3.05,3.19,831,1,"long1"
"233","var_ratio[47]",3.94,0,0.14,3.69,3.84,3.93,4.03,4.21,1000,1,"long1"
"234","var_ratio[48]",3.94,0,0.14,3.67,3.84,3.93,4.03,4.21,1000,1,"long1"
"235","var_ratio[49]",3.45,0,0.12,3.22,3.38,3.45,3.53,3.69,1000,1.01,"long1"
"236","var_ratio[50]",2.38,0,0.08,2.22,2.32,2.37,2.43,2.55,1000,1,"long1"
"237","var_ratio[51]",3.09,0,0.11,2.89,3.01,3.09,3.16,3.3,979,1,"long1"
"238","var_ratio[52]",4.21,0,0.14,3.95,4.11,4.21,4.32,4.5,952,1,"long1"
"239","var_ratio[53]",3.08,0,0.11,2.88,3,3.08,3.14,3.29,1000,1,"long1"
"240","var_ratio[54]",4.47,0,0.15,4.18,4.37,4.46,4.57,4.77,1000,1,"long1"
"241","var_ratio[55]",3.43,0,0.12,3.21,3.35,3.43,3.52,3.67,864,1.01,"long1"
"242","var_ratio[56]",4.21,0,0.15,3.93,4.11,4.21,4.31,4.53,1000,1,"long1"
"243","var_ratio[57]",3.91,0,0.14,3.65,3.82,3.91,4,4.21,955,1,"long1"
"244","var_ratio[58]",3.52,0,0.13,3.3,3.44,3.52,3.61,3.79,1000,1,"long1"
"245","var_ratio[59]",4.73,0,0.16,4.44,4.62,4.73,4.83,5.04,1000,1,"long1"
"246","var_ratio[60]",4.18,0,0.14,3.91,4.08,4.17,4.27,4.47,1000,1,"long1"
"247","var_ratio[61]",2.17,0,0.08,2.03,2.12,2.16,2.22,2.32,1000,1,"long1"
"248","var_ratio[62]",4.37,0,0.15,4.09,4.27,4.36,4.47,4.67,1000,1,"long1"
"249","sigma[1]",0.19,0,0,0.18,0.19,0.19,0.19,0.2,1000,1,"long1"
"250","sigma[2]",0.28,0,0,0.27,0.27,0.28,0.28,0.29,962,1,"long1"
"251","sigma[3]",0.27,0,0,0.26,0.27,0.27,0.27,0.28,1000,1,"long1"
"252","sigma[4]",0.29,0,0.01,0.28,0.29,0.29,0.3,0.3,953,1,"long1"
"253","sigma[5]",0.26,0,0,0.25,0.25,0.26,0.26,0.27,886,1,"long1"
"254","sigma[6]",0.21,0,0,0.2,0.2,0.21,0.21,0.21,1000,1,"long1"
"255","sigma[7]",0.32,0,0.01,0.31,0.32,0.32,0.33,0.33,1000,1,"long1"
"256","sigma[8]",0.22,0,0,0.21,0.21,0.22,0.22,0.22,993,1,"long1"
"257","sigma[9]",0.23,0,0,0.22,0.22,0.23,0.23,0.23,975,1,"long1"
"258","sigma[10]",0.26,0,0,0.25,0.26,0.26,0.26,0.27,1000,1,"long1"
"259","sigma[11]",0.2,0,0,0.2,0.2,0.2,0.2,0.21,1000,1,"long1"
"260","sigma[12]",0.29,0,0,0.28,0.29,0.29,0.29,0.3,959,1,"long1"
"261","sigma[13]",0.24,0,0,0.23,0.23,0.24,0.24,0.25,1000,1,"long1"
"262","sigma[14]",0.19,0,0,0.18,0.19,0.19,0.19,0.2,707,1.01,"long1"
"263","sigma[15]",0.28,0,0.01,0.27,0.27,0.28,0.28,0.29,1000,1,"long1"
"264","sigma[16]",0.23,0,0,0.22,0.22,0.23,0.23,0.23,1000,1,"long1"
"265","sigma[17]",0.28,0,0,0.27,0.28,0.28,0.29,0.29,1000,1,"long1"
"266","sigma[18]",0.32,0,0.01,0.31,0.32,0.32,0.32,0.33,964,1,"long1"
"267","sigma[19]",0.32,0,0.01,0.3,0.31,0.31,0.32,0.33,1000,1,"long1"
"268","sigma[20]",0.28,0,0,0.27,0.28,0.28,0.28,0.29,972,1,"long1"
"269","sigma[21]",0.19,0,0,0.18,0.19,0.19,0.19,0.2,1000,1,"long1"
"270","sigma[22]",0.28,0,0.01,0.27,0.28,0.28,0.29,0.29,932,1,"long1"
"271","sigma[23]",0.17,0,0,0.16,0.17,0.17,0.17,0.17,1000,1,"long1"
"272","sigma[24]",0.3,0,0.01,0.29,0.29,0.3,0.3,0.31,1000,1,"long1"
"273","sigma[25]",0.25,0,0,0.24,0.25,0.25,0.26,0.26,1000,1.01,"long1"
"274","sigma[26]",0.26,0,0,0.25,0.26,0.26,0.27,0.27,1000,1,"long1"
